endereco;valor;area;quartos;vagas;banheiros;pagina
Boulevard Vinte e Oito de Setembro, 385 - Vila Isabel, Rio de Janeiro - RJ;1200.0;45;1;0;1;4
Barra da Tijuca, Rio de Janeiro - RJ;3200.0;38;1;1;1;4
Rua Costa Bastos, 34 - Santa Teresa, Rio de Janeiro - RJ;600.0;25;1;0;1;4
Rua Caruso, 12 - Tijuca, Rio de Janeiro - RJ;1400.0;40;1;0;1;4
Vila Isabel, Rio de Janeiro - RJ;1300.0;50;1;0;1;4
Rua do Humaitá, 282 - Humaitá, Rio de Janeiro - RJ;2500.0;56;1;1;2;4
Rua Barão de Mesquita - Vila Isabel, Rio de Janeiro - RJ;1100.0;44;1;0;1;4
Rua Barata Ribeiro, 222 - Copacabana, Rio de Janeiro - RJ;2500.0;55;1;1;1;5
Boulevard Vinte e Oito de Setembro, 280 - Vila Isabel, Rio de Janeiro - RJ;600.0;26;1;0;1;5
Rua Barão de Sertorio, 67 - Rio Comprido, Rio de Janeiro - RJ;800.0;30;1;0;1;5
Rua Valparaíso - Tijuca, Rio de Janeiro - RJ;1450.0;47;1;0;2;5
Rua Jornalista Henrique Cordeiro, 270 - Barra da Tijuca, Rio de Janeiro - RJ;2400.0;65;1;1;2;5
Avenida Geremário Dantas - Pechincha, Rio de Janeiro - RJ;1000.0;60;1;1;1;5
Centro, Rio de Janeiro - RJ;800.0;55;1;0;1;5
Praia Botafogo, 430 - Botafogo, Rio de Janeiro - RJ;2100.0;44;1;0;1;5
Rua Conde de Bonfim - Tijuca, Rio de Janeiro - RJ;2100.0;69;1;1;1;5
Rua Silva Mourão, 89 - Cachambi, Rio de Janeiro - RJ;1390.0;50;1;1;1;5
Rua Caruso, 12 - Tijuca, Rio de Janeiro - RJ;1400.0;40;1;0;1;5
Vila Isabel, Rio de Janeiro - RJ;1300.0;50;1;0;1;5
Rua Divino Salvador, 234 - Piedade, Rio de Janeiro - RJ;500.0;20;1;0;1;5
Rua Sá Ferreira - Copacabana, Rio de Janeiro - RJ;1850.0;40;1;0;1;5
Avenida Henrique Dumont, 85 - Ipanema, Rio de Janeiro - RJ;3000.0;47;1;0;1;5
Rua Silveira Martins - Flamengo, Rio de Janeiro - RJ;1400.0;37;1;0;1;5
Rua Frei Luiz Alevato, 498 - Taquara, Rio de Janeiro - RJ;700.0;41;1;1;1;5
Rua Benjamim Constant, 135 - Glória, Rio de Janeiro - RJ;1250.0;35;1;0;1;5
Tijuca, Rio de Janeiro - RJ;1500.0;50;1;0;1;5
